image_id,fname,caption
30504,000000030504.jpg,a person on skis going down a snowy hill
30675,000000030675.jpg,a train is traveling down the tracks near trees
30785,000000030785.jpg,a plate with a bowl of broccoli and a sandwich
30828,000000030828.jpg,a person sleeping on a park bench with a sleeping bag
31050,000000031050.jpg,a vase with some plants in it on a table
31093,000000031093.jpg,a man riding a skateboard up the side of a ramp
31118,000000031118.jpg,a large clock tower with a christmas tree in the middle of a city
31217,000000031217.jpg,a man is playing tennis on a court
31248,000000031248.jpg,a living room with a fireplace and a chair
31269,000000031269.jpg,three zebras grazing on grass in a field
31296,000000031296.jpg,a group of people sitting at a table in a restaurant
31322,000000031322.jpg,a flock of swans swimming in a harbor
31620,000000031620.jpg,a bride and groom cutting their wedding cake
31735,000000031735.jpg,"a living room with a couch, table, and two windows"
31749,000000031749.jpg,a doll with red hair sitting next to a clock
31817,000000031817.jpg,a man riding a motorcycle with a helmet on
32038,000000032038.jpg,a large pizza sitting on top of a wooden table
32081,000000032081.jpg,a woman in a white dress playing tennis
32285,000000032285.jpg,a bathroom with a toilet and a shelf
32334,000000032334.jpg,a man and a woman holding wine glasses
32570,000000032570.jpg,a man riding a wave on top of a surfboard
32610,000000032610.jpg,a table with a bunch of laptops and a backpack
32735,000000032735.jpg,a person on skis jumping in the air
32811,000000032811.jpg,a bird sitting on a window sill looking out at the water
32817,000000032817.jpg,two men are painting a bathroom with blue paint
32861,000000032861.jpg,a woman standing in a hallway holding an umbrella
32887,000000032887.jpg,a man with a backpack and a backpack standing on a rocky path
32901,000000032901.jpg,a group of men standing next to each other
32941,000000032941.jpg,a street corner with a broken traffic light
33005,000000033005.jpg,a man holding a tennis racquet on a tennis court
33104,000000033104.jpg,a group of people standing around a blue fence
33109,000000033109.jpg,a blue truck driving down a street next to a lush green field
33114,000000033114.jpg,a plane is taking off from the runway
33221,000000033221.jpg,a woman holding a baseball bat on a beach
33368,000000033368.jpg,a man holding a tennis racquet on a tennis court
33638,000000033638.jpg,a woman is cooking on a black stove
33707,000000033707.jpg,two giraffes standing next to each other in a zoo
33759,000000033759.jpg,a young boy swinging a baseball bat at a ball
33854,000000033854.jpg,a group of motorcycles parked next to each other
34071,000000034071.jpg,a parking meter with the sun setting in the background
34139,000000034139.jpg,a man and woman standing next to a suitcase
34205,000000034205.jpg,"a plate of chicken, mushrooms, and broccoli"
34257,000000034257.jpg,"a display of carrots, broccoli, and other vegetables"
34417,000000034417.jpg,a donut shop with donuts on a conveyor belt
34452,000000034452.jpg,a man in a green jacket holding a frisbee in a wooded area
34760,000000034760.jpg,"a bathroom with a toilet, sink, and shower"
34873,000000034873.jpg,a kitchen with a sink and a counter top
35062,000000035062.jpg,a child is sleeping in a bed with a blanket
35197,000000035197.jpg,a person riding a skateboard on a ramp
35279,000000035279.jpg,a man laying on the floor with a laptop and other items
35326,000000035326.jpg,a stove top oven sitting under a microwave
35682,000000035682.jpg,a man sitting at a table with a tray of donuts
35770,000000035770.jpg,a bathroom with a cow print toilet seat cover
35963,000000035963.jpg,a statue of a woman holding a bunch of teddy bears
36494,000000036494.jpg,a large clock is on the wall of a restaurant
36539,000000036539.jpg,a man and a little girl are skiing down a hill
36660,000000036660.jpg,a person standing on a wooden floor with cell phones
36678,000000036678.jpg,a boat is in the water near a large building
36844,000000036844.jpg,a living room with a lot of furniture and a ceiling fan
36861,000000036861.jpg,a parking meter on a pole on a city street
36936,000000036936.jpg,a man and woman sitting on a couch playing a video game
37670,000000037670.jpg,a person holding a remote control over a toilet
37689,000000037689.jpg,a snowboarder is in mid air after a jump
37740,000000037740.jpg,a desk with a computer and a lamp on it
37751,000000037751.jpg,a person on a motorcycle on a dirt road
37777,000000037777.jpg,"a kitchen with a table, refrigerator, and sink"
37988,000000037988.jpg,a woman is playing tennis on a tennis court
38048,000000038048.jpg,a red fire hydrant sitting on the side of a road
38070,000000038070.jpg,a toilet with a toilet paper dispenser next to it
38118,000000038118.jpg,a person in a red jacket skiing down a snowy hill
38210,000000038210.jpg,a man riding skis down a snow covered slope
38576,000000038576.jpg,a computer monitor and keyboard on a desk
38678,000000038678.jpg,a woman holding a plate with a hamburger on it
38825,000000038825.jpg,two zebras grazing on grass in a fenced in area
38829,000000038829.jpg,two men riding on the back of a green bike
39405,000000039405.jpg,a couple of people that are playing a game of tennis
39477,000000039477.jpg,"a living room with a couch, television and a window"
39480,000000039480.jpg,a woman in a red dress holding a tennis racket
39484,000000039484.jpg,a busy city street with cars and people
39551,000000039551.jpg,a woman in a red dress playing tennis
39670,000000039670.jpg,a train traveling through a lush green forest
39769,000000039769.jpg,two cats laying on a pink blanket with a remote
39785,000000039785.jpg,a man surfing on a river in a black wet suit
39914,000000039914.jpg,a woman and a child are flying a kite
39951,000000039951.jpg,a man is playing tennis on a court
39956,000000039956.jpg,a messy bedroom with a bed and a chair
40036,000000040036.jpg,a jockey riding a horse jumping over a wooden fence
40083,000000040083.jpg,two men sitting under an umbrella on a sidewalk
40471,000000040471.jpg,a kitchen with a ceiling fan and a stove
40757,000000040757.jpg,a young boy laying in bed with a pacifier in his mouth
41488,000000041488.jpg,a green freeway sign with a white street sign above it
41633,000000041633.jpg,a red truck parked on the side of a road
41635,000000041635.jpg,a group of cows standing next to a barbed wire fence
41872,000000041872.jpg,a bedroom with a fireplace and a television
41888,000000041888.jpg,three birds walking on a dry grass covered hill
41990,000000041990.jpg,three people on skis posing for a picture
42070,000000042070.jpg,a bus is parked on the side of the road
42102,000000042102.jpg,a man in a kilt and a tie
42178,000000042178.jpg,a train yard with many trains on the tracks
42276,000000042276.jpg,a bathroom with a toilet and a bunch of shoes
42296,000000042296.jpg,a polar bear playing with balls in the water
42528,000000042528.jpg,a person sitting in a chair holding a cell phone
42563,000000042563.jpg,a train traveling down tracks next to a forest
42628,000000042628.jpg,a group of people walking through a pile of snow
42888,000000042888.jpg,a street sign on a pole in front of a tree
42889,000000042889.jpg,a teddy bear sitting on a desk with a keyboard and mouse
43314,000000043314.jpg,a person jumping in the air on skis
43435,000000043435.jpg,two surfers are riding the waves in the ocean
43581,000000043581.jpg,a pizza sitting on top of a metal pan
43737,000000043737.jpg,a clock on a pole in the middle of a snowy street
43816,000000043816.jpg,a baseball player swinging a bat at a ball
44068,000000044068.jpg,a teddy bear sitting on a chair with a red seat
44195,000000044195.jpg,a man and a child standing on a snow covered slope
44260,000000044260.jpg,a tree with apples growing on it in a forest
44279,000000044279.jpg,two men in a kitchen preparing food on a stove
44590,000000044590.jpg,a group of people standing on the side of a road
44652,000000044652.jpg,a small plane flying through a cloudy sky
44699,000000044699.jpg,a group of sheep standing on a lush green hillside
44877,000000044877.jpg,a woman in a wheelchair holding a tennis racket
45070,000000045070.jpg,a young girl riding on the back of a horse
45090,000000045090.jpg,two surfers riding a wave in the ocean
45229,000000045229.jpg,a kitchen with a stove and a window
45472,000000045472.jpg,a pineapple and oranges are on a table
45550,000000045550.jpg,a man holding a plate of food with a slice of pizza on it
45596,000000045596.jpg,a view of a building from a window
45728,000000045728.jpg,a close up of a plate of food with noodles
46031,000000046031.jpg,a laptop computer sitting on top of a desk
46048,000000046048.jpg,a little girl sitting on a bed in a room
46252,000000046252.jpg,a baseball player holding a bat on a field
46378,000000046378.jpg,a cat is eating a dead bird on the ground
46463,000000046463.jpg,"a sandwich with tomatoes, lettuce, and cheese"
46497,000000046497.jpg,two girls sitting on the back of a boat
46804,000000046804.jpg,a sheep standing in a field of grass
46872,000000046872.jpg,a man standing on the back of a truck
47010,000000047010.jpg,three giraffes walking in a line near a pond
47112,000000047112.jpg,a pizza on a plate with a glass of wine
47121,000000047121.jpg,a cat drinking water from a sink faucet
47571,000000047571.jpg,a man and woman riding a horse drawn carriage
47585,000000047585.jpg,a man and woman standing under an umbrella
47740,000000047740.jpg,a man laying on the beach with a kite in the background
47769,000000047769.jpg,"a living room with a couch, table, and television"
47801,000000047801.jpg,a man eating a piece of cake on a plate
47819,000000047819.jpg,a man standing next to a horse with a basket on it's back
47828,000000047828.jpg,a group of people walking along a river next to a bridge
48153,000000048153.jpg,a person's feet with a pink shoe on a bench
48396,000000048396.jpg,a woman and a boy standing in front of a table
48504,000000048504.jpg,two elephants are standing in a ring with people
48555,000000048555.jpg,a group of people riding horses on a beach
48564,000000048564.jpg,a man talking on a cell phone while wearing a helmet
48924,000000048924.jpg,a motorcycle parked in a field next to a tent
49060,000000049060.jpg,a train is pulling into a station with people standing on the platform
49091,000000049091.jpg,a street with many signs hanging from the side of it
49259,000000049259.jpg,a man sitting on a bench next to a sign
49269,000000049269.jpg,a horse and a dog are in a field
49759,000000049759.jpg,a group of people playing volleyball in a gym
49761,000000049761.jpg,a herd of zebras and wildebeests grazing in a field
49810,000000049810.jpg,a cat looking at itself in a mirror
50006,000000050006.jpg,a harbor with boats and a dock with a building in the background
50145,000000050145.jpg,a man with no shirt on riding a bike
50149,000000050149.jpg,a bunch of bananas hanging from a ceiling
50165,000000050165.jpg,a train traveling down tracks near a lush green field
50326,000000050326.jpg,a man standing on a beach flying a kite
50331,000000050331.jpg,a group of plants that are in a planter
50380,000000050380.jpg,a man leading a small child on a pony
50638,000000050638.jpg,a young boy walking down a dirt road holding a teddy bear
50679,000000050679.jpg,an orange sitting on the side of a road
50811,000000050811.jpg,a man sitting at a table with a bowl of food
50828,000000050828.jpg,a bed with white sheets and pillows in a room
50844,000000050844.jpg,two stuffed animals are sitting on a bed
50896,000000050896.jpg,a bowl of oranges sitting on a table
50943,000000050943.jpg,a man riding a wave on top of a surfboard
51008,000000051008.jpg,a cat is sitting on a laptop keyboard
51309,000000051309.jpg,a group of horses standing around a hay bail
51314,000000051314.jpg,a man in a wet suit riding a surfboard
51326,000000051326.jpg,a couple of pumpkins with faces carved into them
51598,000000051598.jpg,a bathroom with a sink and a mirror
51610,000000051610.jpg,a little girl sitting on a bed with a laptop
51712,000000051712.jpg,a man riding skis down a snow covered slope
51738,000000051738.jpg,"a hotel room with a bed, chair, and television"
51938,000000051938.jpg,a person on skis jumping over a red rail
51961,000000051961.jpg,a parking meter covered in graffiti next to a building
51976,000000051976.jpg,a person riding a surf board on a wave
52007,000000052007.jpg,a double decker bus is parked at a bus stop
52017,000000052017.jpg,a small yellow airplane flying through a cloudy sky
52412,000000052412.jpg,an airplane wing over a parking lot filled with cars
52413,000000052413.jpg,a person holding a pink cell phone in their hand
52462,000000052462.jpg,two zebras standing in a field of tall grass
52507,000000052507.jpg,a man holding a surfboard walking into the ocean
52565,000000052565.jpg,a cow standing on a beach next to the ocean
52591,000000052591.jpg,a woman in skis standing in the snow
52891,000000052891.jpg,a dog on the beach with a frisbee in its mouth
52996,000000052996.jpg,a group of people standing around a kitchen
53505,000000053505.jpg,a bathroom with a toilet and a shelf above it
53529,000000053529.jpg,a dog in a car with a green hat
53624,000000053624.jpg,a baby elephant standing in a pool of water
53626,000000053626.jpg,a group of people on skis standing on a snowy slope
53909,000000053909.jpg,a person holding a cell phone with a picture of a person on the screen
53994,000000053994.jpg,a parking meter on a sidewalk next to a fence
54123,000000054123.jpg,a group of zebras grazing in a field
54164,000000054164.jpg,a man riding a wave on top of a surfboard
54592,000000054592.jpg,two people with skis on a snowy mountain
54593,000000054593.jpg,a young boy is swinging a baseball bat
54605,000000054605.jpg,a slice of cake and a drink on a table
54628,000000054628.jpg,a three tiered cake on a table with a blue cloth
54654,000000054654.jpg,a woman in a kitchen preparing food on a stove
54931,000000054931.jpg,a woman in a pink shirt is leading a white horse
54967,000000054967.jpg,a city street with cars and a bus
55002,000000055002.jpg,a person standing in front of a toilet
55022,000000055022.jpg,a pink bike is parked in a room
55072,000000055072.jpg,a giraffe standing in a field of tall grass
55150,000000055150.jpg,a woman and a child are sitting in a stroller
55167,000000055167.jpg,a bus is driving down a street in a small town
55299,000000055299.jpg,a bird sitting on a rock near the ocean
55528,000000055528.jpg,a man sitting in a chair holding a toothbrush
55950,000000055950.jpg,a man is playing tennis on a tennis court
56127,000000056127.jpg,a kitchen with a sink and a stove
56288,000000056288.jpg,a sandwich on a plate with a pickle on the side
56344,000000056344.jpg,"a desk with a computer monitor, keyboard, mouse and cell phone"
56350,000000056350.jpg,a bathroom with a mural of people on the floor
56545,000000056545.jpg,a bird sitting on a branch with a tree in the background
57027,000000057027.jpg,a baby elephant is walking next to an adult elephant
57149,000000057149.jpg,a car stopped at a stop light in front of a train
