image_id,fname,sample_1,sample_2,sample_3,sample_4,sample_5
2006,000000002006.jpg,an empty bus with people near it on a city street,the purple bus is driving down the street,the bus is purple with designs on it,a purple bus on street with people walking,a purple bus parked on the side of a road
2149,000000002149.jpg,apples in a white bowl on top of a table,close up image of green apples in bowl,the green apples are in the bowl ready to be eaten,a pile of green apples in a bowl,a bowl filled with many green apples
2153,000000002153.jpg,a baseball player swinging at the ball during a game,an umpire and catcher on the field during a baseball game,a baseball player is swinging his bat during a game,"a batter swings at the baseball, while catcher and umpire are on the field",the baseball players are playing a game on the field
2157,000000002157.jpg,a red table set up with a cake and many glasses of wine,an image of a table set up for wedding with cakes and sandwiches,dessert plates and deserts are scattered on a round red table,plates and cups of dessert on a table,some red berries sitting on a table and plates with cake
2261,000000002261.jpg,a man lying on his stomach on a surfboard in the ocean,a man in the water on a surfboard,a man on a boogie board rides the crest of a wave,there is a man laying on the surfboard in the water,a person riding a surf board in the ocean
2299,000000002299.jpg,an old school photo of students posing for a class picture,this class was very well - dressed and is full of children,group photograph of children with older school names,black and white photograph of a group of children,there is an old picture of kids in this photo
2431,000000002431.jpg,a white plate with several food items sitting on it,"a table holding two cups, and some bread and wine",a meal with bread and a bottle of wine on the table,a plate with an arrangement of food and a glass of wine,a white plate topped with plates and napkins
2473,000000002473.jpg,a person jumping on skis in the air near some trees,a man flying through the air while riding skis,a man flying through the air while riding skis,a man skiing jumping high into the air with trees in the background,a person in the air skis on snow covered ground
2532,000000002532.jpg,a man is standing at the bottom of a mountain with skis,person standing at the top of a snowy mountain with ski poles,the person on skis is hiking through the snow,a man on skies walks up a hill,a person standing on snow skis in the snow
2587,000000002587.jpg,an almost eaten banana and a plastic bag,there is an image of a bag of food and a banana,a banana and a doughnut in a bag,a piece of fruit that includes a doughnut and a banana,a banana and a doughnut wrapped in plastic
2592,000000002592.jpg,a mug with a skull and bones design is laying on a table,there is a skull and crossbone on the table with a mug next to it,mug with the pirate's chest emblem and a large knife sitting on the counter,a large knife is on the ground next to a coffee cup,a skull and crossbone on a coffee cup
2685,000000002685.jpg,people are shopping at an antiques and wine shop,a group of people standing in a room next to some cabinets,a group of people are standing in a small room,a group of people standing around in a room,a group of people standing around a counter
2923,000000002923.jpg,"the harbor with boats, cranes and other fishing vessels",large shrimp boats are docked in a grassy area,the grass field is full of seagulls as ships sit on the shore,many large boats are docked on a grassy field,a field with boats in the background under a cloudy sky
3156,000000003156.jpg,a young man sits on the back of his toilet to take off,a man sitting on a toilet in a black and white bathroom,black and white image of a man crouching next to a toilet,a man working on a toilet in his bathroom,black and white photograph of young man squatting next to toilet
3255,000000003255.jpg,several skiers in the snow near the top of a mountain,a group of people on skis moving through the snow,a group of skiers stand in the snow on a mountain,group of people standing in the snow near mountains,skiers standing on the summit in the mountains
3501,000000003501.jpg,"the meal on the plate consists of rice, broccoli and bean",a white plate topped with rice and meat next to broccoli,"a bowl that has rice, sauce and broccoli in it",a white bowl of food sitting on top of a wooden table,a bowl of rice and a dish with broccoli
3553,000000003553.jpg,the skateboarder is skating down the ramp in the green grass,a person standing on a skateboard on a ramp,a close up shot of someone riding a skateboard,a man riding on top of a skateboard over a wooden ramp,the skateboarder is riding along on the ramp
3661,000000003661.jpg,a group of bananas on a wooden table,several banana bunches in front of a computer desk,a group of bananas sitting on top of a wooden counter,several yellow bananas are grouped together next to a computer,several bananas on the top of a wooden table
3845,000000003845.jpg,the plate is filled with asian food and rice,a plate filled with different kinds of food,plate with rice and vegetable on the top,a plate filled with rice and vegetables and silverware,"a plate with a meat, vegetable and rice meal on it"
3934,000000003934.jpg,children playing on a tv remote in front of a couch,people are watching a small child play video games,a group of people stand around in a room,several people are gathered around a couch playing a video game,a group of people standing around a living room
4134,000000004134.jpg,two men shake hands inside of an event,two men in business attire shaking hands during a formal dinner,two men in business attire standing next to each other,two men shaking hands in front of people,a man is shaking another mans hand with other people watching
4395,000000004395.jpg,a man wearing a tie and collar shirt,man wearing dress shirt and tie in business wear,a man is wearing a dress shirt and a tie,a close up of a man wearing a tie,a man is dressed nicely and is talking
4495,000000004495.jpg,"a room with two chairs, a couch and a tv",two chairs with footstools are facing toward an old tv set,"a living room area with a chair, tv, and sofa",an old fashioned television sits in a corner of a room with an old - fashioned,a red and blue plaid chair next to a blue and purple couch
4765,000000004765.jpg,a young man surfing a wave on the ocean,a surfer riding the waves on his surf board,a man riding a wave on a surfboard,this is a photograph of a man riding on a surfboard,this surfer is surfing in the ocean water
4795,000000004795.jpg,there is a black cat that has its head on a laptop,a black cat sitting in front of a laptop,a black cat is looking at a computer screen,a gray cat sitting in front of a computer monitor and phone,a cat looks at a monitor on a desk
5001,000000005001.jpg,the little girl is trying to cut a ribbon,a group of people standing around with a kid cutting a ribbon,a group of people standing on the street behind a pink ribbon,a kid holds onto a blue ribbon at the entrance to the store,a man cutting a ribbon for a little girl
5037,000000005037.jpg,a bus is traveling on a city street,a transit bus parked in the street with people standing around,an older commuter bus stopped on the side of a road,a bus pulls up at a stop in the city,a bus with a person in the back seat
5060,000000005060.jpg,man sitting on the floor in front of a mirror,the man sitting on the floor taking a photo in the mirror,the man is sitting on the floor in front of a large mirror,a man sitting on the floor in front of a mirror,man taking a picture in the mirror of his home
5193,000000005193.jpg,a group of people standing next to each other with surfboards,a group of men and women standing with surfboards in the house,group of surfers posing in an garage with their boards,a group of young people taking pictures with surf boards,a group of men standing next to each other holding surfboards
5477,000000005477.jpg,there is a tan plane on the airport tarmac,a plane that is sitting on the tarmac,the large airliner is parked in an airport,the airplane is on the runway ready for take off,an airplane that is on the ground by some grass
5503,000000005503.jpg,the bottom of a toilet seat with water flowing in it,a person is standing in front of the toilet,the toilet is closed and a persons legs are out,a view from above looking into a toilet,a person standing in front of a toilet
5529,000000005529.jpg,a person on skis is skiing down a snowy hill,"a man skiing down a snowy mountain, with two poles",a person is skiing through the snow with trees in the background,a skier in a jacket and helmet skiing down the mountain,skier coming down the mountain during a storm
5586,000000005586.jpg,a man playing tennis on a blue court,the person is playing tennis on the court,a man that is standing on a tennis court with a racquet,a man taking a swing at a tennis ball,a tennis player serving in a match of tennis
5600,000000005600.jpg,a plate of food with meat and vegetables next to a cup of soup,a metal bowl filled with potatoes sitting next to another bowl of food,three metal bowls filled with cooked meat and vegetables,a close up of some food in metal containers,a close up of food in metal bowls on a table
5992,000000005992.jpg,sheep lined up against a brick wall in the grass,there are many sheep in the yard together,some sheep in grass next to a brick building,a herd of sheep are standing next to a building,three sheep standing next to a brick building
6012,000000006012.jpg,two ripe bananas on top of each other with an apple in the center,an abstract photo has bananas and an apple in each other,two bananas and an apple are connected together,a red apple sitting on top of a ripe banana,a group of bananas and an apple sitting on top of each other
6040,000000006040.jpg,the blue and white train is going along the tracks,a blue and white train passing by buildings,a light rail in a street with cars on the sides,a passenger train stopped at an empty station,there is a blue and white train on the track
6213,000000006213.jpg,a bathroom with a large mirror and two sinks,a bathroom with two sinks and a large tub,the bathroom is clean and ready for guests to use,"a large bathroom with a sink, mirror and bathtub",the large bathroom has a walk in shower and double sinks
6460,000000006460.jpg,a person riding a surfboard on top of a wave,black and white photograph of person surfing on waves,black and white image of a surfer jumping over a wave,a surfer jumping above the waves on his surfboard,an artistic picture of a person surfing the waves
6471,000000006471.jpg,a baseball player taking a swing at the ball,a batter at home plate taking the pitch in a baseball game,"the umpire, catcher and batter wait to play on the field","two men on the field, one holding a baseball bat",an umpire watching the ball during a baseball game
6614,000000006614.jpg,"a black and white drawing of apples, grapes, almonds and a tangerine",an image of a bunch of nuts and fruits,"a black and white picture of some almonds, apples and grapes",a black and white drawing of fruit on a pile of nuts,the black and white drawing shows nuts with fruits
6723,000000006723.jpg,a long street lined with buildings next to a highway,a street with a car going by some buildings,a few vehicles traveling down the street in a residential area,a street with lots of buildings and a bus on the side,a road and several buildings with no people on the side
6763,000000006763.jpg,a smiling couple standing next to each other in a bar,a man and a women sitting at a table,a couple hugging at a bar while the woman is on her phone,a smiling couple is sitting at a bar,two people in front of the bar smiling
6771,000000006771.jpg,a man is holding a microphone while a woman holds a camera,a woman in costume is posing with a man,woman dressed up as wonder of the world posing for man,the woman is wearing costume and a gold hat,an elaborately dressed woman holds a sword while standing in front of a crowd
6818,000000006818.jpg,a bathroom with a toilet and buckets on the floor,pipes in the middle of a white tiled bathroom,a toilet with a drainage system inside of it,there is a pipe and water buckets in the corner,"a white bathroom with a black window, toilet and buckets"
6894,000000006894.jpg,a man is touching the trunk of a large elephant,an elephant with its trunk on the face of a man wearing glasses,a man puts his hand on the neck of an elephant,an elephant touches the ear of a man,man with sunglasses holding elephants ears while looking at the camera
6954,000000006954.jpg,four children are sitting and playing with a frisbee,a group of children sit in a grassy area holding frisbees,several children sit in the grass holding frisbees,small children in their field with their frisbees,four children are sitting down in the grass
7088,000000007088.jpg,a little girl standing outside in the rain with an umbrella,a young girl holding an umbrella on a wet sidewalk,young child with an umbrella in rain on a road,a little girl stands on the sidewalk while holding an umbrella,small child in red jacket holding umbrella while standing in street
7108,000000007108.jpg,an adult elephant walks through the mud with another elephant in the background,there are many elephants standing together near a lake,there are several elephants walking near the water,three elephants walking across an dusty surface near water,elephants are seen walking next to each other
7278,000000007278.jpg,a man riding a wave on top of a surfboard,a man surfing on top of a wave,the man is surfing on a big wave,a person riding a wave on top of a surfboard,a man in red and green shirt surfing on an ocean wave
7281,000000007281.jpg,two people in white riding horses on the beach,people are riding horses on the beach as others swim in the ocean,some men are riding horses by the water,a couple of people riding on the back of horses,two men riding horses across the sand on a beach
7386,000000007386.jpg,a motor cycle and two tires on some grass,an old bicycle sitting in a yard beside a motorcycle trailer,a red and black motorcycle with a dog sitting on it,the dog is looking under the handlebars on this motorcycle,the dog is tied up to his bike near the barn
7511,000000007511.jpg,a man standing on top of a beach flying a kite,man flying kite on the beach next to a body of water,a man is standing in the sand flying a kite,a man on the beach flying a kite,a man flying a kite at the beach while others watch
7574,000000007574.jpg,a kitchen with a sink a refrigerator and some dishes,some bottles in a stainless steel sink in the middle of a counter,a kitchen with wood cabinets and stainless steel appliances,a kitchen filled with lots of clutter and appliances,this kitchen counter has several kitchen items on it
7784,000000007784.jpg,a red and white kite is flying high in the sky,kite is flying high in the blue sky,there is a kite that looks like a shark,a person in the air with a kite,a para sailer kite is soaring through the air
7795,000000007795.jpg,"two beds in a large bedroom, with wooden floors",two beds in a bedroom with brown wood flooring,two beds that are next to each other,two beds with white blankets are facing each other,a well lit bedroom with two beds and the walls painted green
7816,000000007816.jpg,a man on a motorcycle traveling down a road while people look on,a motorcyclist in white is riding down the street,a man riding a motorcycle down a country road,a motorcycle rider on a race course with people watching,there is a man riding a motorcycle down the street
7818,000000007818.jpg,a table is set with a vase of flowers,there is a small vase with flowers sitting on the table,a table is set for dinner with white flowers,a dining table with many white flowers in vases,flowers on the table at a restaurant during a bright dinner
7888,000000007888.jpg,a clock sitting on top of a post,the large clock is on the pole under the cloudy sky,a clock with a face that reads twelve on it,the old time clock is hanging on the post,a black and white photo of two clocks on a post
7977,000000007977.jpg,the boy is practicing tricks on his skateboard,a young skateboarder in a black shirt is doing a trick,a boy skateboarding down the edge of a ramp,skateboarder is in a skate park doing tricks,a skateboarder grinding his board in the middle of an empty parking lot
7991,000000007991.jpg,carrots and beans with blue handled tongs are on a plate,there are carrots on the plate and broccoli on the plate,a plate full of carrots with the vegetables sliced in half,a white plate with carrots and other foods,a plate full of carrots is shown next to purple onions
8021,000000008021.jpg,a large screen is projected at an event as two people watch,someone presenting a man on a screen with another person standing behind it,there is a man giving a speech on the screen,a man is standing on stage in front of a large picture,a man in suit and tie giving a presentation to a group
8211,000000008211.jpg,a couple of people sitting down by the street,two men are sitting next to motorcycles and on the side walk,two people are walking down the street by motorcycles,some asian people on the side of the road,two asian men are sitting down next to the street
8277,000000008277.jpg,a bowl with broccoli and other foods on a paper plate,a white plate topped with a pasta and chicken dish,the meal is ready to be eaten on the table,a meal with noodles and green food is on a plate,a bowl and a fork on a plate
8532,000000008532.jpg,a man in a shirt and tie standing by some buildings,there is a smiling man wearing a red tie and glasses,"man wearing glasses, a plaid cap and a plaid tie",a black man wearing glasses and a plaid hat smiles for the camera,a smiling man wearing glasses and a plaid cap
8629,000000008629.jpg,several images of a cheese pizza and some other items,six pictures are showing different types of pizza,there are several pictures of some delicious food,many different views of a pizza on a table,a bunch of food that is on plates
8690,000000008690.jpg,two little girls are petting two small goats,a black goat and two girls petting it's horns,two little girls pets and feeds a goat,two girls are petting the animals in an enclosure,a couple of young girls petting two goats
8762,000000008762.jpg,the traffic light is hanging over the street,two traffic lights over a street at night,a traffic light suspended over a city street,green lights on the side of a street at night,a street sign hanging from the side of a traffic light
8844,000000008844.jpg,a lady standing in front of a bunch of bananas,a woman smiles next to a table of bananas,woman standing in front of large bunches of bananas,there is a woman standing next to a table with some bananas,woman smiling and standing in front of table of bananas
8899,000000008899.jpg,the fire hydrant is next to a tall brick building,fire hydrant in front of building with graffiti on the wall,a fire hydrant is outside of an old run down building with graffiti written all,a fire hydrant sits in front of an apartment building,fire hydrant sits in front of a building with graffiti all over it
9378,000000009378.jpg,the man in the black shirt is reaching for a green frisbee,a man with long hair holding a frisbee in front of a crowd,a man standing in the room holding a yellow frisbee,man making face while throwing a frisbee in air,a man playing frisbee in a crowd
9400,000000009400.jpg,a table with several laptop computers on it,a group of people sitting in a restaurant while using computers,people at a table with several laptops,there are people sitting in the booth looking at laptops,a group of people gathered together on laptop computers
9448,000000009448.jpg,a young girl standing underneath an open blue umbrella,a young girl is holding an umbrella on the side of a road,a girl in a red sweater holding an umbrella,a little girl holding an umbrella while standing next to a sidewalk,a young girl stands under an umbrella while holding it open
9483,000000009483.jpg,there is a man standing next to two monitors,a man standing in front of a computer monitor,a man stands in front of a desk with electronic equipment on it,man in suit posing in front of computer equipment,a man standing in front of a table with a computer and some other electronics
9590,000000009590.jpg,a group of men sitting around a table drinking coffee,several men sit around a table eating food,several people sit at a table in front of a window,a group of men sit at a table while talking,four men sitting at a table having a meal
9769,000000009769.jpg,a truck on a road covered in snow,two people are behind a plow while a truck waits to deliver it,a red truck driving down a snowy street,two men work in the snow beside a red pickup truck,a red truck driving down a street with snow on the ground
9772,000000009772.jpg,a person is taking a picture of the bathroom,a bathroom with two sinks and a tv mounted above,a man takes a picture of his bathroom vanity,a man takes a photo in front of a large mirror,a bath room with a big mirror and a sink
9891,000000009891.jpg,two men loading luggage onto an airport vehicle,two men are unloading luggage from the back of a car,"a man holding onto luggage, while another pulls him across the street",two men pushing luggage towards the back of a car,two men pulling luggage near their car
9914,000000009914.jpg,"a hamburger and fries with ketchup, tomato salad, onion rings and ke",there is a sandwich with a side of fries on the plate,"there is a sandwich, fries and ketchup on the plate",hamburger and fries with ketchup on a white plate,a big burger with fries is on the white plate
10092,000000010092.jpg,a large bed with a netting over it in a bedroom,the interior of a bed with mosquito netting around it,a bedroom with a mosquito net bed and table,the bed has a green netting over it,there is a bedroom with bed and wooden table
10363,000000010363.jpg,there is a cat that is standing on top of the car,a cat sitting on the hood of a black car,a cat stands on top of the hood of a car,a cat standing on the hood of a car,a cat on the hood of a car in a garage
10583,000000010583.jpg,a plate that has some kind of food on it,some food is on a plate outside on the table,a plate that has food on it near other plates,some food on a plate sitting on a table,a plate on a table with some food in it
10707,000000010707.jpg,three people sitting and standing in a living room,a group of people sitting on the floor and playing video games,three men playing a game with remote controllers,some young men are playing nintendo wii together,three men playing video games with remote controllers in a living room
10764,000000010764.jpg,a baseball player kneeling in the dirt during a game,a man standing next to home base holding a bat,a baseball player with a catchers mitt on a field,an umpire standing in the outfield behind home plate,there is a man kneeling and playing baseball
10977,000000010977.jpg,a bathroom with pink tiles and brown cabinets,"a pink and blue bathroom is shown with toilet, sink, and bathtub",a bathroom with a toilet and a bath tub,a bathroom with pink and white tiles and a shower,pink tile in a bathroom with toilet and sink
10995,000000010995.jpg,there is a bed that has yellow sheets on it,"an empty room with a bed, lamp and sliding glass doors",the sunlight shines through the windows in the bedroom,"a bedroom with an unmade bed, lamps and curtains",a bedroom with a bed and two windows
11051,000000011051.jpg,a young man and woman who are dressed up,the woman is showing the man how to tie his flower,a young woman tying a boutonniere to the mans suit coat,a couple of women standing next to each other,two people in dress clothes posing for a picture
11122,000000011122.jpg,there is a stop sign in the gate of this yard,a fence is open to expose a red stop sign,a stop sign near a fence by some plants,a sign is in a fenced area with palm trees,the street signs are posted behind a fence
11149,000000011149.jpg,two people on a motorcycle parked in front of a bicycle rack,two men standing on the side of the street with a row of bikes,two motorcycles parked next to each other near a man wearing a helmet,a man riding a motorcycle next to two bicycles,a man stands next to his bikes on a street
11197,000000011197.jpg,there is a man standing next to the street corner,a man standing at a cross walk near a street,two people standing at a busy intersection near some signs,a street light with a man standing next to it,there is a man standing by a street corner near traffic signals
11511,000000011511.jpg,the people are all looking at a statue,two statues sit on the ground in front of a group,this is a woman sitting next to a man on a bench,two statues sitting on top of a stone bench,two bronze figures sitting on a cement bench
11615,000000011615.jpg,four different street signs standing near each other,street signs all pointing in various directions at different points,several road signs with different arrows and street names on them,a road sign displaying the various direction of traffic,there is a sign pointing towards the directions in a foreign language
11699,000000011699.jpg,two women smile as they pose with luggage at the train station,two women pose for a photo with their luggage,a girl making a peace sign while holding on to her luggage,two women pose with their luggage at an airport,two girls pose for the camera while holding a large suitcase
11760,000000011760.jpg,two zebras are walking in front of flowers,two zebras standing near each other next to trees,two zebras are standing near a group of trees,two zebras standing on dirt and a tree,two zebras standing next to each other on a dirt road
11813,000000011813.jpg,tripod with camera and laptop on it sitting next to another tripod,a camera set up on a tripod for a video shoot,a camera set up in a room to film a scene,two computer monitors are set up as a tripod is positioned,a camera and video recorder on a tripod
12062,000000012062.jpg,"a white sheep surrounded by dirty, fur covered animal beds",there is no image here to provide a caption for,a sheep and her wool pile inside of a cage,a white sheep standing next to a group of black sheep,a couple of sheep with dirty fur inside of a cage
12120,000000012120.jpg,two tennis players are on the court during a match,two tennis players are playing on a blue court,two women playing tennis on a blue tennis court,a professional tennis match with the ball on the court,a crowd looks on as a tennis player goes for the ball
12280,000000012280.jpg,the woman with luggage is walking down the walkway,a woman walking across a street with luggage,a woman walking with a suitcase through an airport,the woman is walking in the building with her luggage,a woman walks down a building with her suitcase
12576,000000012576.jpg,pizza boxes sitting on a table with one slice removed,a table with some glasses and pizzas on it,the people are sitting at the table eating pizza,there are pizzas sitting on a table at a restaurant,the pizzas are ready to be eaten on the table
12639,000000012639.jpg,a child hitting a ball with a bat,some young boys playing baseball in the field,a boy wearing a helmet holding a baseball bat,young kids play baseball as others look on,a young baseball player is getting ready to swing
12667,000000012667.jpg,banana on telephone receiver with writing pad next to it,a banana and phone on a table,banana sitting on telephone receiver and paper with graph paper on table,an old - fashioned telephone has a banana on top,the phone is plugged into the banana to charge it
12670,000000012670.jpg,a crowd of people are walking along in the same direction,the crowd is gathered outside of the building,people walking and sitting at the same time,a bunch of people on a busy street,an outdoor crowd of people standing next to each other
12748,000000012748.jpg,a father is shown holding his child and petting a horse,a man holding a child next to a brown horse,a young man holds a small child while standing next to a horse,a man and child with a horse next to a building,a man holds his baby in front of a horse
13004,000000013004.jpg,a small white bowl with a peeled banana and sauce,a banana and an egg sitting in a white bowl,the bowl has an egg and banana in it,"an egg yolk in a small bowl, and a banana on a table",an egg inside a banana that is on a white plate
13177,000000013177.jpg,a man bending over to adjust his wheels,man making tire rims on motorcycle in urban area,a man working on a motorcycle wheel in front of a bike,a man working on a motorcycle tire that is broken,a man working on some items in his garage
13201,000000013201.jpg,a man riding a skateboard up the side of a ramp,a young man on his skateboard doing a trick,a person is riding a skate board in a park,a guy is on his skate board riding on a ramp,a young man with dreadlocks skateboarding on a ramp
13291,000000013291.jpg,several people pose in the grass with frisbees,six asian children are posing with frisbees while holding an adult,five people posing for a photo while holding frisbees,four people are standing together in the field and one of them is holding three fr,a group of children posing with frisbees in the grass
13348,000000013348.jpg,a large jetliner sitting on top of an airport tarmac,an airplane sitting at the airport on a runway,an airplane at the airport terminal on a sunny day,a large jumbo jet sitting on top of an airport runway,large jetliner parked at an airport terminal with boarding walkway and walkway
13546,000000013546.jpg,the skateboarder is skating on the cement slab,a man rides on the edge of a cement slab,a man on a skate board in a park,the boy on his skateboard is going down the ramp,a man skateboarding on a ramp outside at the park
13597,000000013597.jpg,there is no image here to provide a caption for,the plate has a piece of chocolate cake on it,there is a piece of chocolate cake that is on the plate,a slice of chocolate cake with a swirly swirl on it,a piece of chocolate cake is on a plate
13659,000000013659.jpg,a man working on his laptop computer at work,an office scene with one man working on a laptop,there are people sitting around working on laptops,a man on his laptop working on a project,a group of people at table with laptop computers
13729,000000013729.jpg,a group of people are playing video games together,four people are playing the nintendo wii while others watch,a group of friends are playing video games,"people standing in a room, looking at something in the air",a group of men and women are standing in the living room
13774,000000013774.jpg,man standing in the water playing with a frisbee,a man is standing on the beach playing with a disk toy,a person on the beach playing with a ball,person standing on water with a ball over their head,person on beach at sunrise looking down into water
13923,000000013923.jpg,a living room with wooden flooring and furniture,small living room with red chairs and a white table,living room with colorful chairs and a big television,a living room filled with furniture and a large flat screen tv,a living area with a wooden floor and wooden furnishings
14007,000000014007.jpg,the cat sits on top of a refrigerator,the cat is perched on the small blue refrigerator,a cat sitting on top of a refrigerator,a cat sits on top of an unused fridge,a cat sitting on top of a dresser with shelves
14038,000000014038.jpg,a small living area with a refrigerator and yellow balloons,"a long narrow hallway is decorated with balloons, pictures, and decorations",a room filled with balloons and a wooden floor,balloons are scattered throughout the small space in this small living room,the room has many balloons and a lot of other stuff on the floor
14226,000000014226.jpg,a man sitting at a table with an apple computer on his lap,a man holding a laptop on his lap while looking out the window,a man sitting at a table using a laptop computer,a person sits at a table with an open laptop,the man is sitting on his seat using a laptop computer
14380,000000014380.jpg,a train traveling under a bridge near tall buildings,a train traveling over the tracks below a bridge,a bridge over railroad tracks in a city,the bridge is surrounded by tracks and cars,this is an elevated train crossing over tracks
14439,000000014439.jpg,people walking around on a field with a kite,two women fly a colorful kite in a park,two people hold the string of a kite,people in a field with some have a kite,two people on grass flying a kite with their hands
14473,000000014473.jpg,model train on tracks with red engine and train cars with workers,a train is moving along the track as construction workers stand near it,a red and black train traveling down train tracks,a toy train that is on the tracks,a model train on a track with some traffic cones around it
14831,000000014831.jpg,the side view of a cat laying on a bed,an orange and white cat laying on a bed,a brown and white cat lays on a bed,an animal curled up on a bed and sleeping,the cat has fur that is soft and fluffy
14888,000000014888.jpg,a cow with several red and white tubes next to it's head,some red and white marker markers next to some cows,a close up of the head of a cow with red and white markings,cows standing next to each other in their stalls,a black cow with red ears and some white tubes
15079,000000015079.jpg,a sandwich on a white plate with a knife and fork,two halves of sandwich sitting on top of a plate,a sandwich is cut in half and laying on a plate,a sandwich is shown on a plate with a knife,a sandwich cut in half sitting on a plate
15254,000000015254.jpg,a purple lunch box has four separate meals,a plastic container filled with fruits and vegetables,this container has four containers of different foods,this is a packed meal for two,the lunchbox is packed with vegetables and meat
15272,000000015272.jpg,streetlights are red and some trees with blossoming branches,a stoplight is mounted to the top of a tree,a traffic light sits below some trees,a stop light is red on a cherry tree,a traffic light sitting next to a bunch of cherry trees
15278,000000015278.jpg,some broccoli and some type of meat on a white plate,broccoli on a plate with fish on the side,the meal features broccoli on a white plate,plated meal containing a fish and broccoli on a table,broccoli florets are mixed together on a white plate
15335,000000015335.jpg,"a woman, man and young boy at a table together eating food",the two people are sitting together at the restaurant,two men and a child sitting at a table,the father and son are sitting at a table,a group of people sitting at a table eating food
