image_id,caption,gt,wrong,is_hall
7281,two people in white riding horses on the beach,horse|person,,False
7386,a motor cycle and two tires on some grass,bicycle|dog|motorcycle|truck,,False
7511,a man is standing in the sand flying a kite,backpack|kite|person,,False
7574,a kitchen filled with lots of clutter and appliances,bottle|bowl|microwave|oven|refrigerator|sink|vase|wine glass,,False
7784,a para sailer kite is soaring through the air,kite|orange,,False
7795,"two beds in a large bedroom, with wooden floors",bed|clock|remote,,False
7816,a motorcyclist in white is riding down the street,motorcycle|person,,False
7818,a table is set for dinner with white flowers,chair|dining table|fork|knife|vase|wine glass,,False
7888,a clock sitting on top of a post,clock,,False
7977,a young skateboarder in a black shirt is doing a trick,person|skateboard,,False
7991,a plate of carrots and green beans on a counter,carrot|dining table|knife|person,,False
8021,a man in a suit is on a large screen,bottle|person|tie,,False
8211,a couple of people sitting down by the street,bicycle|chair|motorcycle|person,,False
8277,a white plate topped with a pasta and chicken dish,bowl|broccoli|cup|fork,,False
8532,a smiling man wearing glasses and a plaid cap,cat|person|tie,,False
8629,there are several pictures of some delicious food,fork|pizza,,False
8690,two girls are petting the animals in an enclosure,person|sheep,,False
8762,green lights on the side of a street at night,car|traffic light,,False
8844,a lady standing in front of a bunch of bananas,banana|dining table|person,,False
8899,fire hydrant in front of building with graffiti on the wall,bicycle|fire hydrant,,False
9378,a man playing frisbee in a crowd,frisbee|person,,False
9400,a group of people sitting in a restaurant while using computers,cup|dining table|keyboard|laptop|mouse|person,,False
9448,a young girl standing underneath an open blue umbrella,person|umbrella,,False
9483,man in suit posing in front of computer equipment,dining table|keyboard|laptop|mouse|person|tv,,False
9590,several men sit around a table eating food,bottle|bowl|chair|clock|cup|dining table|person|spoon,,False
9769,a red truck driving down a snowy street,fire hydrant|person|truck,,False
9772,a bathroom with a large mirror and a sink,person|sink|tv,,False
9891,two men loading luggage onto an airport vehicle,backpack|car|person|suitcase|tie,,False
9914,"a plate with a burger, fries, and pickles",bowl|cup|dining table|hot dog|knife|sandwich,,False
10092,a bed with a mosquito net hanging from it,bed|bird|chair|dining table,,False
10363,a cat standing on the hood of a car,bicycle|bottle|car|cat,,False
10583,a plate of food with meat and gravy,dining table|knife|sandwich,,False
10707,a group of men sitting around a living room together,backpack|bottle|couch|cup|dining table|laptop|person|remote,,False
10764,an umpire standing in the outfield behind home plate,baseball glove|person|sports ball,,False
10977,a bathroom with pink tiles and brown cabinets,sink|toilet,,False
10995,the sunlight shines through the windows in the bedroom,bed,,False
11051,two people in dress clothes posing for a picture,person|tie,,False
11122,a sign is in a fenced area with palm trees,stop sign,,False
11149,a man standing next to a couple of bikes,bicycle|motorcycle|person,,False
11197,a man standing at a cross walk near a street,backpack|bicycle|car|person|traffic light,,False
11511,two statues sit on the ground in front of a group,bench|handbag|motorcycle|person,,False
11615,a street sign with several different signs on it,truck,,False
11699,two girls pose for the camera while holding a large suitcase,handbag|person|suitcase,,False
11760,two zebras are standing near a group of trees,zebra,,False
11813,a camera and video recorder on a tripod,chair|laptop,,False
12062,a sheep and her wool pile inside of a cage,couch|sheep|sports ball,,False
12120,a tennis match with a crowd watching,chair|person|sports ball|tennis racket,,False
12280,a woman walking with a suitcase through an airport,cat|person|suitcase|tv,,False
12576,a table with pizzas and glasses of wine,cup|dining table|fork|knife|person|pizza|tv,,False
12639,a young baseball player is getting ready to swing,baseball bat|baseball glove|person,,False
12667,banana on telephone receiver with writing pad next to it,banana|cell phone|dining table,,False
12670,an outdoor crowd of people standing next to each other,backpack|cell phone|handbag|person|teddy bear,,False
12748,a man holding a baby and petting a horse,horse|person,,False
13004,an egg inside a banana that is on a white plate,banana|dining table,,False
13177,a man working on a motorcycle tire on the ground,bicycle|motorcycle|person,,False
13201,a young man with dreadlocks skateboarding on a ramp,person|skateboard,,False
13291,five people posing for a photo while holding frisbees,frisbee|person,,False
13348,an airplane at the airport terminal on a sunny day,airplane|person|truck,,False
13546,a man skateboarding on a ramp outside at the park,bench|person|skateboard,,False
13597,a piece of chocolate cake on a plate,cake|dining table,,False
13659,a man on his laptop working on a project,chair|cup|dining table|keyboard|laptop|person|tv,,False
13729,a group of friends are playing video games,bottle|couch|cup|dining table|person|remote,,False
13774,person on beach at sunrise looking down into water,frisbee|kite|person,,False
13923,a living room with wooden flooring and furniture,bottle|bowl|chair|couch|dining table|potted plant|tv|vase,,False
14007,a cat sitting on top of a dresser with shelves,cat|refrigerator,,False
14038,a room filled with balloons and a wooden floor,bed|book|bottle|cell phone|chair|couch|dining table|microwave|potted plant|refrigerator|tv,,False
14226,a man holding a laptop on his lap while looking out the window,apple|chair|dining table|laptop|person|train,,False
14380,a bridge over railroad tracks in a city,car|train,,False
14439,two women fly a colorful kite in a park,backpack|chair|kite|person,,False
14473,a model train on a track with a fence,person|train,,False
14831,the cat has fur that is soft and fluffy,bed|cat|orange,,False
14888,a black cow with red ears and some white tubes,cow,,False
15079,a sandwich cut in half sitting on a plate,knife|sandwich,,False
15254,the lunchbox is packed with vegetables and meat,bowl|carrot|dining table|spoon,,False
15272,streetlights are red and some trees with blossoming branches,traffic light,,False
15278,broccoli on a plate with fish on the side,broccoli,,False
15335,the two people are sitting together at the restaurant,bowl|cell phone|couch|cup|dining table|person,,False
15338,a bus is sitting at a bus stop,bus|car|person|sports ball|truck,,False
15440,street sign with multiple directions on post on roadway,bus|stop sign,,False
15497,cat is on the floor beside a mouse and computer mouse,cat|couch|laptop|mouse,,False
15517,a busy street filled with buses driving on it's sides,bus,,False
15597,a shirtless skateboarder skating on a half pipe,bicycle|person|skateboard,,False
15660,a person riding a windsurfing in the ocean,kite|person|surfboard,,False
15746,a red fire hydrant sitting in the grass,fire hydrant,,False
15751,small birds are all around the roof together,bird,,False
15956,a person walking with a horse inside of a barn,clock|horse|person,,False
16010,a group of animals grazing in a field,cow|zebra,,False
16228,an image of a carriage with a horse,bench|bus|car|horse|person|tie|train|umbrella,,False
16249,an older man sits on a bench in a city,backpack|bench|chair|person,,False
16439,a lap top on a wooden desk under a lamp,cell phone|dining table|laptop|wine glass,,False
16451,several beach gear is laying on a sandy beach,backpack|chair|handbag|person|surfboard|umbrella,,False
16502,a sheep standing on top of a rocky hill,sheep,,False
16598,a woman with blue hair taking a selfie,cell phone|person|tie,,False
16958,the antique looking room has a black fireplace,book|chair|dining table|vase,,False
17029,a dog jumping in the air to catch a frisbee,car|dog|frisbee,,False
17031,a giraffe looking at something with its tongue hanging out,giraffe|person,,False
17115,a pair of zebras looking towards the camera,zebra,,False
17178,the horses are in their lane to get some attention,car|horse,,False
17182,a classroom with a chalk board and blackboard,apple|book|chair|dining table,,False
17207,a bus is driving down the street in india,bench|bus|car|motorcycle|person,,False
17379,tv screen and large mirrors in public restroom,person|sink|tv,,False
17436,a man sitting on a bench next to a tower,bench|person,,False
17627,cars are stopped at an intersection in a city,bus|car|person,,False
17714,a breakfast table with pastries and coffee,banana|cup|dining table|fork|knife|pizza|spoon|train,,False
17899,a woman is preparing cookies in her home,bird|cake|chair|couch|cup|dining table|hot dog|person|spoon,,False
17905,man standing beside a traffic light in a foreign country,fire hydrant|person|traffic light,,False
17959,a group of kites that are in the grass,backpack|kite|orange|person,,False
18150,a man and a child are sitting on the floor,backpack|bottle|couch|person|pizza,,False
18193,a young woman sitting in a camping chair eating food,apple|chair|hot dog|person|sandwich,,False
18380,a family sits at a dinner table to celebrate,bowl|carrot|chair|cup|dining table|fork|knife|person|spoon|vase|wine glass,,False
18491,a baseball player sliding into home plate,baseball bat|baseball glove|bench|person|sports ball,,False
18519,a skate boarder doing tricks at a skate park,person|skateboard,,False
18575,a plate of food with a burger and fries,bottle|bowl|dining table|knife|sandwich|wine glass,,False
18737,a large red motorcycle parked near a beach,motorcycle,,False
18770,a close up of a person wearing glasses,person|tie,,False
18833,a cat sleeps inside a pair of shoes,cat,,False
18837,a green truck with two men on top of it,car|person|truck,,False
19042,a water bird in the middle of a rocky riverbank,bird|car,,False
19109,several parked motorcycles line a street in front of shops,handbag|motorcycle|person,,False
19221,a small piece of broccoli with a hand holding it,broccoli|person,,False
19402,the man and woman are in winter coats,person|pizza,,False
19432,a man playing tennis at the court,chair|person|sports ball|tennis racket,,False
19742,this is an image of a wine glass in the background,cup|dining table|person|vase,,False
19786,a man is laughing while holding a camera,couch|laptop|person|remote,,False
19924,a woman in a hat smoking a cigarette,person|tie,,False
20059,two zebras standing in a grassy zoo enclosure,zebra,,False
20107,an old fire hydrant with a rusted up top,fire hydrant,,False
20247,two brown bears walking on a dirt road,bear,,False
20333,a young boy is playing in the dirt,bowl|person|tie,,False
20553,a pile of stuff animals sitting on top of a brown field,bed|bottle|chair|couch|cup|dining table|teddy bear|umbrella|vase,,False
20571,fishing boats at the dock in the bay,boat|handbag|person,,False
20992,a woman taking a bite out of a hot dog,hot dog|person,,False
21167,two people in formal wear standing in a room,person|tie|wine glass,,False
21465,a blue shelf holding knick knacks and other items,chair|cup|dining table|vase,,False
21503,pieces of toast and frosted cookies on a plate,dining table|keyboard|mouse|remote|sandwich,,False
21604,a man wearing a light up tie,person|tie,,False
21839,a man walking across a street at night,car|handbag|person|traffic light,,False
21879,woman in bikini surf boarding on small wave,person|surfboard,,False
21903,an elephant standing on top of a wooden fence,elephant|person,,False
22192,a dog sits in an overflowed room with clothes all around it,bed|cow|dog|handbag,,False
22371,a man is sitting at a desk and making notes,book|dining table|laptop|person|tie,,False
22396,a large jetliner flying past a partial moon,airplane|person,,False
22479,a skateboarder is mid air as he attempts a trick,bench|person|skateboard,,False
22589,two sheep are behind a wire fence in a park,sheep,,False
22623,a close up of an electronic device on a table,cell phone|orange,dining table,True
22705,a woman in a black dress standing in a kitchen,bottle|bowl|person|refrigerator|wine glass,,False
22755,a school bus is seen in a rear view mirror,bus|car,,False
22892,a cat and dog looking outside through a glass door,cat|chair|dining table|dog|potted plant,,False
22935,a woman in a blue uniform is playing soccer,person|sports ball,,False
22969,two giraffes standing in a fenced in area,giraffe,,False
23023,a black and white photo of luggage and a bag,handbag|suitcase,,False
23034,a man is walking with two horses on a trail,backpack|horse|person,,False
23126,a man that is riding a horse in the street,horse|person,,False
23230,a large body of water with some animals swimming around,bird,,False
23272,a cat sits on the hood of a car,car|cat,,False
23359,a snowboarder in brown jacket doing a jump,person|snowboard,,False
23666,this bathroom has an old fashioned toilet and old bathtub,toilet,,False
23751,a man flying a kite in front of a building,kite|person,,False
23781,several baskets full of fruit and vegetables are seen here,broccoli|carrot,,False
23899,three men are playing with video games in a bedroom,couch|person|remote|tv,,False
23937,cows are lying in the shade next to a tree,cow|sheep,,False
24021,a class photograph taken by an old camera,person|tie,,False
24027,a colorful kite is flying over a park,kite|person,,False
24144,a large cheese pizza sitting inside a box,pizza,,False
24243,two people sitting inside of an open refrigerator,cup|person|refrigerator,,False
24567,a man is making hotdogs on a tray,chair|hot dog|person,,False
24610,there is no image on this page to describe,backpack|book|bottle|chair|couch|dining table|laptop,,False
24919,two elephants standing on top of a grass covered field,elephant|horse,,False
25057,a man with no shirt standing in a field,bottle|frisbee|person,,False
25096,a boy in a blue shirt is cutting a cake,cake|chair|dining table|knife|person|skateboard|zebra,,False
25139,two zebras standing next to each other in a pen,zebra,,False
25181,the subway platform is empty and ready to be picked up,backpack|bench|person|train,,False
25228,a woman riding on a surfboard under a cloudy sky,person|surfboard,,False
25386,a man sitting next to a woman with chopsticks in hand,chair|hot dog|person|sandwich|train,,False
25393,two young men in suits crossing street at night,car|person|tie,,False
25394,a man is pouring a glass of wine,bottle|cup|person|wine glass,,False
25424,a man getting ready to hit a tennis ball,person|sports ball|tennis racket,,False
25560,cat standing on tv stand watching television,cat|cup|orange|person|tv,,False
25593,street signs in english and chinese written in asian,bicycle|person|stop sign,,False
25603,a girl eats her food at a restaurant,book|chair|cup|dining table|person|pizza,,False
25986,the counter is covered with various dishes of food,bowl|broccoli|cup|dining table|donut|spoon,,False
26204,a city street filled with traffic and a bus,bus|car|person|traffic light|truck,,False
26465,the laptop has three electronic devices on top,cell phone|chair|dining table|keyboard|laptop|person|remote,,False
26564,two computers sitting on a corner desk next to each other,book|bottle|dining table|keyboard|laptop|mouse|tv,,False
26690,skateboarder jumping at the top of a ramp in front of crowd,person|refrigerator|skateboard,,False
26926,a fire hydrant with a face drawn on it,car|fire hydrant|orange|tie,,False
26941,multiple suitcases piled on top of each other,person|suitcase,,False
27186,a little girl holding a nintendo wii game controller,couch|person|remote,,False
27620,a glass desk in a small office area,bottle|chair|dining table|keyboard|laptop|mouse,,False
27696,a pizza with peppers and onions on a plate,dining table|fork|knife|person|pizza,,False
27768,a city bus parked in front of a large building,bus|car|person,,False
27932,a baseball catchers mitt laying in the sand,baseball glove|sports ball,,False
27972,man surfing on the ocean waves in the sun,person|surfboard,,False
27982,a bathroom with toilet and sink in it,chair|sink|toilet,,False
28285,a church tower on top of a tiled roof,clock,,False
28449,several elephants are walking down the road near a bush,elephant,,False
28452,"an empty, white refrigerator with the door open",bottle|refrigerator,,False
28809,a close up of bananas with stickers on them,banana|dining table,,False
28993,two fire hydrants with buildings in the background,fire hydrant|person|traffic light,,False
29187,a woman riding a horse and carriage on a race track,horse|person,,False
29393,a brown and white dog standing in the yard,bench|dog|orange,,False
29397,someone standing on a wooden bench with a sign sitting in the back,bench|orange|person,,False
29596,the living room is well decorated with a nice sofa,book|chair|couch|cup|dining table|potted plant|tv|vase,,False
29640,"vegetables, meat and broccoli being cooked in a wok",broccoli|carrot|oven|spoon,,False
29675,three hotdogs sitting on top of a black plate,dining table|hot dog,,False
29984,people relaxing in the water at a beach,chair|person|umbrella,,False
30213,an old fashioned kitchen that has green wallpaper,apple|bottle|bowl|chair|dining table|oven|refrigerator|sink,,False
30494,the dog is walking in the woods by the tree,dog|frisbee,,False
30504,a man is skiing in deep snow on a trail,backpack|person|skis,,False
30675,a train is traveling down the tracks near trees,orange|train,,False
30785,a meal with some vegetables and guacamole,bowl|broccoli|dining table|sandwich,,False
30828,a person laying on a bench with sleeping bag,backpack|bench|car|orange|parking meter|person,,False
31050,a vase with dried plants inside it on a shelf,vase,,False
31093,a skateboarder riding on a ramp near several other skaters,backpack|bowl|person|skateboard,,False
31118,a clock tower with christmas lights in the background,car|clock|person,,False
31217,a person is playing tennis on the court,person|sports ball|tennis racket,,False
31248,a living room filled with furniture and decor,book|bowl|chair|couch|potted plant,,False
31269,two zebras grazing in the middle of a grassy field,horse|person|zebra,,False
31296,a bunch of people sitting around the dining room,bottle|cell phone|chair|clock|cup|dining table|person|tie,,False
31322,swans and their mate on the water in a marina,bird|boat|person,,False
31620,the newlywed couple cut the wedding cake,cake|chair|cup|dining table|knife|person|tie,,False
31735,a living room scene complete with furniture and window,book|couch|dining table|potted plant,,False
31749,a doll with red hair sitting next to a clock,clock,,False
31817,a man in a helmet sitting on a motorcycle,motorcycle|person,,False
32038,a pizza on a wooden platter being sliced,bottle|dining table|oven|person|pizza,,False
32081,a female tennis player returning a serve,person|sports ball|tennis racket,,False
32285,a bathroom with yellow walls and tile floors,toilet,,False
32334,a man and woman are holding glasses of wine,car|chair|person|wine glass,,False
32570,this is an image of a surfer surfing,person|surfboard,,False
32610,a desk has three laptops and multiple cords on it,backpack|bench|dining table|laptop,,False
32735,skiers are doing stunts on the slope,person|skis,,False
32811,a bird standing outside of a window near a body of water,bird|boat,,False
32817,two men are painting a bathroom with blue paint,bowl|person|toilet,,False
32861,a woman standing in a hallway holding an umbrella,person|umbrella,,False
32887,a person standing next to a bunch of rocks,backpack|cell phone|person,,False
32901,four men posing for a photo at a wine tasting,bottle|chair|cup|dining table|person|tie|wine glass,,False
32941,an intersection with a yellow sign on the corner,bus|car|person|traffic light|truck,,False
33005,a man holding a tennis racquet on a tennis court,person|sports ball|tennis racket,,False
33104,a group of people getting ready to go skiing,bench|person|skis|snowboard,,False
33109,a large truck driving down a road near houses,bus|car|truck,,False
33114,an airplane with it's landing gear deployed at an airport,airplane|parking meter,,False
33221,people stand and hold tennis racquets in the sand,baseball bat|car|handbag|person|tennis racket|truck,,False
33368,a tennis player wearing blue shirt and white shorts,person|sports ball|tennis racket,,False
33638,the woman is making a meal in the old kitchen,bowl|oven|person|spoon,,False
33707,two giraffes are standing close together at the zoo,giraffe|person,,False
33759,a baseball player that has his bat in the air,baseball bat|car|person|sports ball|truck,,False
33854,antique cars on the street of an outdoor city,bus|car|motorcycle|person,,False
34071,the sun is shining brightly in a city setting,parking meter,,False
34139,a very large luggage bag in front of a statue,handbag|person|suitcase,,False
34205,a plate full of chicken and mushrooms with greens,broccoli,,False
34257,the large selection of vegetables are displayed for sale,broccoli|carrot,,False
34417,a donut shop with donuts on a conveyor belt,donut|person|tie,,False
34452,a man in the woods reaching down to grab something,frisbee|person,,False
34760,a bathroom with tile floor and large mirror,bottle|sink|toilet,,False
34873,a kitchen with wooden cabinets and a counter top,apple|bowl|chair|cup|dining table|sink|tv,,False
35062,someone asleep in the bed under a blanket,bed|person,,False
35197,a black and white photo of someone riding their skateboard,person|skateboard,,False
35279,there are many things laying around the floor,book|bottle|cell phone|handbag|laptop|person|tennis racket,,False
35326,a kitchen with a black oven and tiled wall,bottle|knife|oven,,False
35682,a young man looks up as he eats a chocolate covered donut,cake|chair|cup|dining table|donut|handbag|person,,False
35770,the bathroom is designed like a cow themed bathroom,sink|toilet,cow,True
35963,two stuffed teddy bears on the ground next to a grave marker,bear|teddy bear,,False
36494,a large clock is on the wall of a restaurant,bottle|bowl|chair|clock|cup|dining table|person|refrigerator|vase,,False
36539,two people that are skiing down a slope,person|snowboard,,False
36660,three electronic devices sitting on top of a wooden floor,cell phone|person,,False
36678,a large building has two towers and some clocks,boat|clock,,False
36844,this is an image of a small living room,bicycle|chair|couch|cup|potted plant|refrigerator|remote|tv,,False
36861,a pole that has two meters in it,bicycle|parking meter,,False
36936,the group of people are playing video games,book|bowl|cell phone|couch|cup|person|potted plant|remote|tv,,False
37670,a toilet and a hand pressing button on it,person|remote|toilet,,False
37689,a snowboarder is in mid air after a jump,person|snowboard,,False
37740,a computer desk and lamp on a room,book|chair|couch|dining table|keyboard|laptop|mouse|potted plant|tv,,False
37751,the motorcyclist is riding down the mountain road,backpack|bicycle|motorcycle|person,,False
37777,kitchen with white appliances and light wood cabinets,banana|bowl|chair|dining table|orange|oven|potted plant|refrigerator|sink,,False
37988,a woman wearing a black skirt holding a tennis racquet,person|sports ball|tennis racket,,False
38048,the fire hydrant has no fire extinguisher at all,car|fire hydrant|handbag|person,,False
38070,an aerial view of a toilet in the corner,bowl|toilet,,False
38118,a person in snow gear is skiing down a hill,person|skis,,False
38210,a man is skiing down a snowy hill,person|skis,,False
38576,a black and white photo of a desktop computer and mouse,dining table|keyboard|laptop|mouse|tv,,False
38678,a woman smiles while holding a bagel in her hands,cup|dining table|donut|person|sandwich|train,,False
38825,two zebras standing next to each other eating grass,zebra,,False
38829,two men riding on the back of a green bike,backpack|bicycle|motorcycle|person,,False
39405,two people playing doubles tennis on a grass court,backpack|bench|chair|person|sports ball|suitcase|tennis racket,,False
39477,"a couch, window, and plant in a small room",book|couch|dining table|potted plant|tv|vase,,False
39480,a tennis player walking with a racquet on a court,orange|person|tennis racket,,False
39484,a city street filled with lots of traffic,airplane|car|chair|dining table|person|traffic light,,False
39551,a female tennis player in action on the court,person|sports ball|tennis racket,,False
39670,the train is traveling on the tracks through the grass,person|train,,False
39769,two cat sleeping on top of pink material,bed|cat|couch|remote,,False
39785,a surfer is seen riding a white water rapids,bench|person|surfboard,,False
39914,a woman and a child are flying a kite,kite|person,,False
39951,a man is playing tennis on a court,person|sports ball|tennis racket,,False
39956,a messy bedroom with various things strewn about the floor,bed|chair,,False
40036,a jockey riding a horse jumping over a wooden fence,horse|person|potted plant,,False
40083,two men sitting at an open market on the sidewalk,bicycle|bottle|car|chair|person|umbrella,,False
40471,a kitchen with white cabinets and light fixtures,apple|banana|bottle|bowl|cup|knife|microwave|oven|refrigerator|sink|spoon,,False
40757,a small kid in white shirt laying down,bed|person|tv,,False
41488,an interstate sign with east 207 and queens bronx,truck,,False
41633,a red classic pickup truck parked by itself,car|person|truck,,False
41635,three cows in the background looking straight ahead,cow,,False
41872,there is a fireplace in the middle of this bedroom,bed|chair|clock|tv,,False
41888,a group of three birds walk on the ground,bird|person,,False
41990,a group of three skiers on a snowy slope,person|skis,,False
42070,a bus is parked on the side of the road,bus|car|person,,False
42102,a man wearing a kilt in front of a red carpet,handbag|person|tie,,False
42178,a train station is pictured in a foggy sky,car|train,,False
42276,this is a view of a messy bathroom floor,potted plant|skis|toilet,,False
42296,a polar bear playing in the water with some balls,bear|dog|sports ball,,False
42528,two pictures of a person holding a cell phone,cell phone|chair|person,,False
42563,a train traveling on a track in the snow,car|train,,False
42628,this is some snow piled to the side by a building,fire hydrant|handbag|person|snowboard,,False
42888,a traffic sign on a pole with other signs below,,,False
42889,a teddy bear wearing glasses sitting next to a keyboard,bear|keyboard|teddy bear,,False
43314,a skier makes a jump off a mountain slope,backpack|person|skis,,False
43435,two surfers in the middle of two huge waves,person|surfboard,,False
43581,"the pizza has many toppings, but it is well prepared",dining table|fork|knife|pizza,,False
43737,a very large clock in a snowy city,car|clock,,False
43816,the baseball player is swinging at a low pitch,baseball bat|baseball glove|person|sports ball,,False
44068,a brown teddy bear sitting on a red chair,chair|teddy bear,,False
44195,two men standing on a mountain holding snowboards,person|skis|snowboard,,False
44260,a tree with apples growing on it in a forest,apple,,False
44279,three people preparing food in a restaurant kitchen,bowl|knife|oven|person,,False
44590,a group of people standing by the side of a road,car|motorcycle|person,,False
44652,an old style fighter plane flying through the clouds,airplane,,False
44699,a group of sheep standing on a lush green hillside,sheep,,False
44877,a woman sitting in a wheelchair holding a tennis racquet,chair|person|sports ball|tennis racket,,False
45070,a girl wearing a cowboy hat riding a horse,horse|person,,False
45090,two surfers in wetsuits ride a large wave,person|surfboard,,False
45229,this kitchen has a window that opens to reveal sunlight,book|bottle|bowl|oven|potted plant,,False
45472,some fruit is placed next to an assortment of candles,bowl|cup|dining table|orange,,False
45550,a man smiles as he holds a plate of food,bowl|clock|person|sandwich,,False
45596,a view of a building from a window,bicycle|car|person|umbrella,,False
45728,a close up of a plate of food with noodles,cake|fork|knife,,False
46031,two laptop computers sitting on top of a table,cell phone|dining table|keyboard|laptop|mouse|tv,,False
46048,a little girl sitting on a bed in a room,bed|book|person,,False
46252,"the batter, catcher and umpire during a baseball game",baseball bat|baseball glove|person|sports ball,,False
46378,a cat is feeding a dead bird with it's mouth,bird|cat,,False
46463,"a sandwich with a tomato and lettuce, in a bun",oven|person|sandwich,,False
46497,two little girls riding on top of a sail boat,boat|person,,False
46804,a sheep standing in a field of grass,person|sheep,,False
46872,two people are unloading equipment onto the back of a truck,car|person|truck,,False
47010,three giraffes walking in a line near a pond,cow|giraffe,,False
47112,a pizza on a plate with a glass of wine,bottle|bowl|chair|dining table|knife|person|pizza|wine glass,,False
47121,a black cat with its head in a water faucet,bottle|bowl|cat|sink,,False
47571,a couple on a horse drawn carriage sitting on top of a puddle,horse|person,,False
47585,a man and woman wearing suits and holding an umbrella,person|tie|umbrella,,False
47740,a man laying in the sand under several colorful streamers,kite|person,,False
